num,sf,shift,LM,MW,C,N,P,O,cansmi,envlab,mw,P_oxidation_state,P_valence
Lan3-CMP239,C27H26NO4P,16.9,CDCl3,459.473401,27,1,1,4,O=C(c1ccccc1)NC(P1(=O)OCC(CO1)(C)C)c1c2ccccc2cc2c1cccc2,C1O1O1O2,459.48200000000014,5,5.0
Lan3-CMP244,C27H27ClN3O4PS,22.48,CDCl3,556.012740999999,27,3,1,4,CCOP(=O)(C(c1ccccc1)Nc1ccc(cc1)Sc1cnn(c(=O)c1Cl)c1ccccc1)OCC,C1O1O1O2,556.0240000000001,5,5.0
Lan3-CMP247,C27H27N2O5P,8.57,CDCl3,490.487441,27,2,1,5,O=c1cc(n(cc1OCc1ccccc1)Cc1ccccc1)C(P(=O)(O)O)NCc1ccccc1,C1O1O1O2,490.49600000000015,5,5.0
Lan3-CMP258,C27H28NO7P,21.35,CDCl3,509.487481,27,1,1,7,CCOP(=O)([C@H]([C@@H](N1C(=O)c2c(C1=O)cccc2)c1ccc(cc1)OCc1ccccc1)O)OCC,C1O1O1O2,509.4950000000002,5,5.0
Lan3-CMP259,C27H28N3OP,39.1,CDCl3,441.504481,27,3,1,1,Cn1nc2c(c1NCc1ccccc1)C(CCC2)P(=O)(c1ccccc1)c1ccccc1,C1C1C1O2,441.5150000000001,5,5.0
Lan3-CMP260,C27H28N5O5P,23.47,CDCl3,533.515480999999,27,5,1,5,CCOP(=O)(C(Cc1nnn(c1)c1ccc(cc1)[N+](=O)[O-])N=C(c1ccccc1)c1ccccc1)OCC,C1O1O1O2,533.5250000000001,5,5.0
Lan3-CMP266,C27H30ClN2O6P,13.63,CDCl3,544.963660999999,27,2,1,6,COC(=O)C(NC(=O)NC(P(=O)(Oc1ccccc1)Oc1ccccc1)c1ccc(cc1)Cl)CC(C)C,C1O1O1O2,544.9720000000001,5,5.0
Lan3-CMP271,C27H30N3O5P,24.3,CDCl3,507.517961,27,3,1,5,CCOP(=O)(C(Nc1ccc2c(c1)c1ccccc1n2CC)/C=C\c1ccccc1[N+](=O)[O-])OCC,C1O1O1O2,507.5270000000003,5,5.0
Lan3-CMP278,C27H31O2P,25.6,CDCl3,418.507601,27,0,1,2,CC(c1cc(C(C)C)c(c(c1)C(C)C)P1(=O)Oc2ccccc2-c2c1cccc2)C,C1C1O1O2,418.5170000000001,5,5.0
Lan3-CMP280,C27H31O4P,20.53,CDCl3,450.506401,27,0,1,4,OCC1(COP(=O)(OC1)C(c1ccccc1)(c1ccccc1)c1ccccc1)C(C)(C)C,C1O1O1O2,450.51500000000016,5,5.0
Lan3-CMP286,C26H34N3OP,38.3,CDCl3,435.541421,26,3,1,1,CN1N=C2C(C1NC1CCCCC1)C(CCC2)P(=O)(c1ccccc1)c1ccccc1,C1C1C1O2,435.552,5,5.0
